,precision,recall,f1-score,support
0.0,0.9775280898876404,0.9775280898876404,0.9775280898876404,89.0
1.0,0.9574468085106383,0.9574468085106383,0.9574468085106385,47.0
accuracy,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176
macro avg,0.9674874491991394,0.9674874491991394,0.9674874491991394,136.0
weighted avg,0.9705882352941176,0.9705882352941176,0.9705882352941176,136.0
