iter	RMSE
0	17.51912422
1	17.43394014
2	17.35328655
3	17.27780316
4	17.20743646
5	17.14035145
6	17.06628263
7	16.98978474
8	16.92475378
9	16.86136654
10	16.79244628
11	16.72387893
12	16.6533894
13	16.5847749
14	16.52090169
15	16.45667888
16	16.39054304
17	16.3210414
18	16.25081704
19	16.18561535
20	16.12700526
21	16.06653336
22	15.99962852
23	15.93629132
24	15.88561121
25	15.83065424
26	15.77586211
27	15.73044229
28	15.67623227
29	15.6268103
30	15.57261889
31	15.51640692
32	15.47137864
33	15.42517706
34	15.37584536
35	15.32914021
36	15.27971532
37	15.23269027
38	15.18756862
39	15.13569771
40	15.08847959
41	15.03980248
42	14.99910542
43	14.95009618
44	14.90080989
45	14.85685642
46	14.81372116
47	14.77156565
48	14.72789522
49	14.69140501
50	14.65212688
51	14.60883316
52	14.57344526
53	14.5358285
54	14.50010353
55	14.46635782
56	14.42580756
57	14.38855536
58	14.35245104
59	14.31400199
60	14.28096567
61	14.24417895
62	14.21245318
63	14.18370271
64	14.15257315
65	14.11881416
66	14.08267015
67	14.04560277
68	14.01711292
69	13.98954334
70	13.95197093
71	13.92068073
72	13.88937089
73	13.85742045
74	13.82958758
75	13.80107581
76	13.77287356
77	13.74259769
78	13.71936097
79	13.69125093
80	13.66337718
81	13.63373923
82	13.6062096
83	13.58049996
84	13.55367145
85	13.53300319
86	13.50681498
87	13.47981865
88	13.45170864
89	13.42519567
90	13.40066009
91	13.37580117
92	13.35065383
93	13.32775467
94	13.3027052
95	13.28289286
96	13.25715737
97	13.23439985
98	13.21186968
99	13.19060369
100	13.16722279
101	13.14567314
102	13.12193265
103	13.1021238
104	13.0783147
105	13.05863691
106	13.03303113
107	13.01472058
108	12.99607806
109	12.97974213
110	12.95925638
111	12.94126506
112	12.92221819
113	12.9067697
114	12.89137964
115	12.87163576
116	12.8516173
117	12.83357537
118	12.81210147
119	12.79826295
120	12.77956446
121	12.75449419
122	12.74557302
123	12.72753947
124	12.70697977
125	12.68663544
126	12.66826747
127	12.64617543
128	12.62820678
129	12.61187163
130	12.59504299
131	12.57851259
132	12.56116555
133	12.54687254
134	12.52967302
135	12.51103504
136	12.49726015
137	12.48395072
138	12.47301856
139	12.46053734
140	12.44487524
141	12.43272409
142	12.41292899
143	12.39899544
144	12.3859161
145	12.37158699
146	12.35416592
147	12.33667312
148	12.32098112
149	12.30400347
150	12.29135346
151	12.27544511
152	12.25977627
153	12.24312528
154	12.2315381
155	12.21948439
156	12.20079931
157	12.18255041
158	12.16632802
159	12.14878631
160	12.13718292
161	12.11669685
162	12.10126935
163	12.08961444
164	12.07447038
165	12.0623347
166	12.05062509
167	12.0348731
168	12.02175345
169	12.00862302
170	11.99443517
171	11.98001785
172	11.96988744
173	11.96153383
174	11.94745448
175	11.93443118
176	11.92296369
177	11.91438161
178	11.90339785
179	11.89188047
180	11.88044562
181	11.87031252
182	11.85886849
183	11.84735877
184	11.83672611
185	11.82594958
186	11.81776377
187	11.8073974
188	11.79528777
189	11.78524091
190	11.77538794
191	11.76577082
192	11.75688647
193	11.74465564
194	11.73453448
195	11.72267496
196	11.71447449
197	11.70158717
198	11.69303853
199	11.68604693
200	11.67367534
201	11.66459266
202	11.6541127
203	11.64630498
204	11.63647999
205	11.62726973
206	11.61805488
207	11.60448467
208	11.59420985
209	11.58790716
210	11.5791463
211	11.56815839
212	11.55956324
213	11.54991235
214	11.5372247
215	11.52954943
216	11.52128315
217	11.50833259
218	11.49933874
219	11.49311059
220	11.48708595
221	11.47601201
222	11.46482979
223	11.45559702
224	11.44672208
225	11.44037731
226	11.43211874
227	11.4206445
228	11.41204868
229	11.40048076
230	11.38927026
231	11.37554102
232	11.36893907
233	11.358885
234	11.35042902
235	11.33798193
236	11.32676307
237	11.31833812
238	11.3078791
239	11.30405803
240	11.2978332
241	11.28702449
242	11.27495153
243	11.26645692
244	11.26062669
245	11.25067529
246	11.24243718
247	11.23596369
248	11.23109927
249	11.2228511
250	11.21676027
251	11.20848676
252	11.19916795
253	11.19216528
254	11.18497501
255	11.17633966
256	11.16415449
257	11.15500433
258	11.14590552
259	11.13915317
260	11.13236938
261	11.12479137
262	11.11425517
263	11.10806856
264	11.10164957
265	11.0941724
