iter	Passed	Remaining
413	3462	1731
414	3471	1722
415	3478	1714
416	3486	1705
417	3494	1697
418	3502	1688
419	3510	1680
420	3520	1672
421	3528	1664
422	3537	1656
423	3547	1648
424	3556	1640
425	3564	1631
426	3572	1622
427	3580	1614
428	3587	1605
429	3595	1597
430	3604	1589
431	3612	1580
432	3620	1571
433	3628	1563
434	3636	1554
435	3644	1546
436	3651	1537
437	3659	1529
438	3667	1520
439	3675	1512
440	3683	1503
441	3692	1495
442	3701	1487
443	3710	1479
444	3718	1470
445	3727	1462
446	3735	1454
447	3744	1446
448	3752	1437
449	3760	1429
450	3768	1420
451	3776	1411
452	3784	1403
453	3792	1395
454	3800	1386
455	3808	1378
456	3817	1369
457	3825	1361
458	3833	1352
459	3841	1344
460	3849	1336
461	3857	1327
462	3866	1319
463	3874	1310
464	3882	1302
465	3891	1294
466	3898	1285
467	3906	1277
468	3914	1268
469	3922	1260
470	3930	1251
471	3938	1243
472	3945	1234
473	3953	1226
474	3961	1217
475	3969	1209
476	3976	1200
477	3984	1192
478	3992	1183
479	3999	1174
480	4007	1166
481	4016	1158
482	4024	1149
483	4032	1141
484	4040	1132
485	4048	1124
486	4056	1116
487	4063	1107
488	4071	1099
489	4079	1090
490	4086	1082
491	4094	1073
492	4102	1065
493	4110	1056
494	4117	1048
495	4125	1039
496	4133	1031
497	4141	1022
498	4149	1014
499	4158	1006
500	4166	997
501	4174	989
502	4182	981
503	4190	972
504	4197	964
505	4205	955
506	4213	947
507	4221	939
508	4229	930
509	4236	922
510	4244	913
511	4252	905
512	4260	896
513	4268	888
514	4275	880
515	4283	871
516	4291	863
517	4299	855
518	4307	846
519	4315	838
520	4323	829
521	4331	821
522	4339	813
523	4346	804
524	4355	796
525	4362	787
526	4370	779
527	4378	771
528	4386	762
529	4393	754
530	4402	746
531	4411	737
532	4419	729
533	4427	721
534	4436	713
535	4444	704
536	4452	696
537	4460	688
538	4468	679
539	4475	671
540	4483	663
541	4491	654
542	4499	646
543	4507	638
544	4515	629
545	4523	621
546	4531	612
547	4538	604
548	4546	596
549	4553	587
550	4561	579
551	4569	571
552	4578	562
553	4586	554
554	4594	546
555	4602	538
556	4610	529
557	4617	521
558	4625	513
559	4633	504
560	4641	496
561	4649	488
562	4656	479
563	4664	471
564	4672	463
565	4680	454
566	4688	446
567	4696	438
568	4703	429
569	4712	421
570	4720	413
571	4728	405
572	4737	396
573	4745	388
574	4752	380
575	4760	371
576	4768	363
577	4776	355
578	4783	346
579	4791	338
580	4799	330
581	4806	322
582	4814	313
583	4822	305
584	4829	297
585	4837	288
586	4845	280
587	4853	272
588	4861	264
589	4869	255
590	4877	247
591	4884	239
592	4893	231
593	4900	222
594	4908	214
595	4916	206
596	4923	197
597	4931	189
598	4939	181
599	4947	173
600	4955	164
601	4963	156
602	4972	148
603	4979	140
604	4988	131
605	4996	123
606	5005	115
607	5013	107
608	5022	98
609	5030	90
610	5039	82
611	5047	74
612	5056	65
613	5063	57
614	5071	49
615	5079	41
616	5086	32
617	5094	24
618	5102	16
619	5109	8
620	5117	0
