iter	Logloss
0	0.6889691984
1	0.6846677521
2	0.6797871099
3	0.6761411115
4	0.671786806
5	0.6687064243
6	0.6648205317
7	0.6608488246
8	0.6567408206
9	0.6527623961
10	0.6491746218
11	0.6459631857
12	0.6414636613
13	0.6379768784
14	0.6341627923
15	0.6312193405
16	0.6272359806
17	0.6239760127
18	0.6206167496
19	0.617373744
20	0.614483743
21	0.6117739231
22	0.607910104
23	0.6054116823
24	0.6020625472
25	0.5987154737
26	0.5961965755
27	0.593156128
28	0.5902982884
29	0.5876822609
30	0.5843674118
31	0.5827095951
32	0.5795002099
33	0.5773975477
34	0.5746784215
35	0.5721332803
36	0.5693736158
37	0.5671241437
38	0.5647394176
39	0.563007832
40	0.5605815225
41	0.5582210412
42	0.5558316985
43	0.5531299543
44	0.5502853851
45	0.5484523868
46	0.5459921811
47	0.5444557694
48	0.5421525908
49	0.5407446247
50	0.5381268905
51	0.5363665169
52	0.5342766693
53	0.5321696728
54	0.5301160765
55	0.5288295836
56	0.5266155477
57	0.5240059966
58	0.5217625953
59	0.5197616535
60	0.5179165653
61	0.516278201
62	0.5141178918
63	0.5121112936
64	0.5100308022
65	0.5082048198
66	0.5070498869
67	0.5055641595
68	0.5041624041
69	0.5026316798
70	0.5012540973
71	0.499341941
72	0.4978924105
73	0.4959560877
74	0.4941495839
75	0.492719863
76	0.4909110727
77	0.4898801472
78	0.488093053
79	0.4866892067
80	0.4851075851
81	0.4838081162
82	0.4821775718
83	0.4810094923
84	0.4796183229
85	0.4785430631
86	0.4773902245
87	0.4761644954
88	0.475315619
89	0.4741656963
90	0.4727197103
91	0.4717651027
92	0.4705928942
93	0.468975216
94	0.4682453264
95	0.467049354
96	0.4655024259
97	0.464499263
98	0.4634947975
99	0.4623415467
100	0.4611995753
101	0.4595921405
102	0.4585487148
103	0.4578904775
104	0.4567130661
105	0.4554298813
106	0.4539854736
107	0.4529683737
108	0.4521988755
109	0.451226626
110	0.4502333736
111	0.4488333127
112	0.4475168327
113	0.4463861605
114	0.4451118286
115	0.4438217656
116	0.4427249184
117	0.4419360259
118	0.4411732972
119	0.4398936812
120	0.4388268455
121	0.438295096
122	0.43729549
123	0.4366825753
124	0.435960862
125	0.4350143436
126	0.4342329835
127	0.4333918974
128	0.4323296903
129	0.4317485049
130	0.4311665964
131	0.4300949934
132	0.4294870066
133	0.4288524656
134	0.4279022833
135	0.4270379179
136	0.4265129077
137	0.425701349
138	0.4250335495
139	0.4241470883
140	0.4232549682
141	0.422356737
142	0.4216537066
143	0.4208067834
144	0.4202262603
145	0.4195109473
146	0.4187793825
147	0.4178893704
148	0.4172204384
149	0.4165564011
150	0.4156620152
151	0.415102156
152	0.4144856387
153	0.4138520769
154	0.4126593997
155	0.4123848412
156	0.4118210339
157	0.4108293011
158	0.4104033291
159	0.4096938746
160	0.4092264512
161	0.4082739235
162	0.4078703261
163	0.4073239683
164	0.4067954294
165	0.4059039348
166	0.4054902665
167	0.4048523455
168	0.404236215
169	0.4037600907
170	0.4033768158
171	0.4030865273
172	0.4027992618
173	0.4021075892
174	0.4018014171
175	0.4012345885
176	0.4006153336
177	0.4000190175
178	0.3995617669
179	0.3991228811
180	0.3987917429
181	0.3984421967
182	0.3980213211
183	0.397514837
184	0.3972144051
185	0.3967768593
186	0.3962976803
187	0.3958957534
188	0.3953507032
189	0.3953174032
190	0.3949882907
191	0.3943170625
192	0.3939533312
193	0.3939176833
194	0.3933131093
195	0.3927538283
196	0.3925437129
197	0.3922547634
198	0.3918158403
199	0.3914141295
200	0.3908745382
201	0.3904938895
202	0.3902114248
