iter	Passed	Remaining
451	1078	1306
452	1081	1305
453	1083	1302
454	1085	1300
455	1087	1297
456	1090	1295
457	1092	1293
458	1097	1293
459	1099	1290
460	1104	1291
461	1109	1291
462	1111	1289
463	1115	1288
464	1117	1285
465	1119	1283
466	1120	1279
467	1122	1275
468	1123	1272
469	1126	1269
470	1127	1266
471	1130	1264
472	1133	1262
473	1135	1259
474	1137	1257
475	1139	1254
476	1141	1251
477	1145	1251
478	1149	1250
479	1154	1251
480	1164	1256
481	1166	1253
482	1167	1250
483	1171	1248
484	1173	1245
485	1176	1244
486	1178	1241
487	1179	1237
488	1180	1233
489	1182	1231
490	1184	1227
491	1185	1223
492	1187	1221
493	1190	1219
494	1192	1216
495	1195	1214
496	1196	1211
497	1198	1208
498	1200	1205
499	1202	1202
500	1204	1199
501	1207	1198
502	1209	1195
503	1211	1192
504	1213	1189
505	1214	1186
506	1216	1182
507	1218	1180
508	1220	1176
509	1222	1174
510	1227	1174
511	1228	1170
512	1229	1167
513	1232	1165
514	1234	1162
515	1237	1161
516	1241	1159
517	1242	1156
518	1244	1153
519	1248	1152
520	1251	1150
521	1257	1151
522	1259	1149
523	1264	1148
524	1268	1147
525	1269	1144
526	1273	1143
527	1275	1140
528	1278	1138
529	1282	1137
530	1287	1137
531	1292	1136
532	1293	1133
533	1295	1130
534	1296	1127
535	1316	1139
536	1338	1153
537	1345	1155
538	1354	1158
539	1356	1155
540	1358	1152
541	1360	1149
542	1363	1147
543	1365	1144
544	1368	1142
545	1372	1141
546	1375	1139
547	1380	1138
548	1383	1136
549	1387	1135
550	1393	1135
551	1395	1132
552	1399	1131
553	1402	1129
554	1406	1127
555	1409	1125
556	1410	1122
557	1413	1119
558	1415	1116
559	1417	1113
560	1420	1111
561	1424	1109
562	1426	1107
563	1430	1105
564	1431	1102
565	1434	1099
566	1437	1097
567	1438	1093
568	1441	1091
569	1443	1089
570	1446	1086
571	1448	1083
572	1450	1080
573	1453	1078
574	1456	1076
575	1460	1075
576	1465	1074
577	1466	1070
578	1467	1067
579	1469	1064
580	1471	1060
581	1473	1058
582	1476	1055
583	1481	1055
584	1495	1061
585	1505	1063
586	1508	1061
587	1510	1058
588	1512	1055
589	1516	1053
590	1518	1051
591	1521	1048
592	1523	1045
593	1526	1043
594	1531	1042
595	1533	1039
596	1534	1036
597	1536	1033
598	1540	1031
599	1543	1028
600	1546	1026
601	1549	1024
602	1551	1021
603	1553	1018
604	1557	1016
605	1560	1014
606	1562	1011
607	1567	1010
608	1571	1008
609	1574	1006
610	1577	1004
611	1579	1001
612	1582	999
613	1585	996
614	1588	994
615	1589	990
616	1591	987
617	1594	985
618	1596	982
619	1598	979
620	1600	976
621	1604	974
622	1606	972
623	1609	970
624	1611	966
625	1613	964
626	1615	961
627	1617	958
628	1619	955
629	1622	952
630	1626	950
631	1631	949
632	1635	948
633	1636	944
634	1637	941
635	1638	938
636	1640	934
637	1641	931
638	1642	927
639	1643	924
640	1645	921
641	1646	917
642	1647	914
643	1648	911
644	1649	907
645	1650	904
646	1651	901
647	1652	897
648	1653	894
649	1654	891
650	1655	887
651	1656	884
652	1658	881
653	1659	877
654	1660	874
655	1661	871
656	1662	867
657	1663	864
658	1664	861
659	1665	857
660	1666	854
661	1667	851
662	1668	848
663	1669	844
664	1670	841
665	1671	838
666	1672	835
667	1673	831
668	1674	828
669	1675	825
670	1677	822
671	1677	818
672	1678	815
673	1679	812
674	1680	809
675	1682	806
676	1683	803
677	1684	799
678	1685	796
679	1685	793
680	1686	790
681	1688	787
682	1689	783
683	1689	7806684	1691	777685	1862	852
686	1864	849
687	1866	846
688	1868	843
689	1870	840
690	1872	837
691	1874	834
692	1877	831
693	1879	828
694	1882	825
695	1884	823
696	1888	821
697	1893	819
698	1897	817
699	1901	814
700	1904	812
701	1906	809
702	1911	807
703	1914	805
704	1916	801
705	1920	799
706	1923	797
707	1924	793
708	1927	791
709	1930	788
710	1933	785
711	1935	783
712	1938	780
713	1939	777
714	1940	773
715	1943	770
716	1946	768
717	1949	765
718	1962	767
719	1973	767
720	1977	765
721	1980	762
722	1983	760
723	1986	757
724	1989	754
725	1991	751
726	1994	749
727	1996	746
728	1998	742
729	1999	739
730	2001	736
731	2003	733
732	2004	730
733	2007	727
734	2008	724
735	2010	721
736	2013	718
737	2017	716
738	2019	713
739	2022	710
740	2025	707
741	2026	704
742	2032	702
743	2035	700
744	2037	697
745	2039	694
746	2041	691
747	2043	688
748	2045	685
749	2048	682
750	2051	680
751	2053	677
752	2055	674
753	2057	671
754	2060	668
755	2062	665
756	2065	663
757	2067	659
758	2071	657
759	2075	655
760	2077	652
761	2080	649
