model,rmse,mae,r2,run_time
RandomForest,10.195858126445865,7.960806261327647,0.5580171589331939,2025-05-24T00:45:33.429344
XGBoost,10.356071025842047,8.058723449707031,0.5440177917480469,2025-05-24T00:45:51.636083
