OBJECTID,year,state,st_case,veh_no,a_wrongwaydrv,a_drdis,a_drdro,a_vrd,a_body,a_imp1,a_vroll,a_lic_s,a_lic_c,a_cdl_s,a_mc_l_s,a_spveh,a_sbus,a_mod_yr,a_fire_exp,a_imp2
36989,2022,36,360270,2,2,2,2,2,6,2,2,1,1,1,4,2,3,2019,1,
36990,2022,36,360271,1,2,2,2,1,1,2,2,1,1,2,4,2,3,2011,1,
36991,2022,36,360272,1,2,2,2,1,1,2,2,1,1,2,4,2,3,2007,1,
36992,2022,36,360272,2,2,2,2,2,6,2,2,1,1,1,4,2,3,2014,1,
36993,2022,36,360273,1,2,2,2,1,3,3,2,1,1,2,4,2,3,2006,1,
36994,2022,36,360273,2,2,2,2,2,6,2,2,1,1,1,4,2,3,2022,1,
36995,2022,36,360274,1,2,2,2,1,1,2,2,1,1,2,4,2,3,2021,1,
36996,2022,36,360275,1,2,1,2,2,2,2,2,1,1,2,4,2,3,2014,1,
36997,2022,36,360276,1,2,2,2,2,8,2,2,1,1,1,4,2,3,2015,1,
36998,2022,36,360277,1,2,2,2,2,1,2,2,1,1,2,4,2,3,2011,1,
36999,2022,36,360277,2,2,2,2,2,7,7,2,4,2,2,3,1,3,2019,1,
37000,2022,36,360278,1,2,2,2,1,7,2,2,4,2,2,3,1,3,2007,1,
37001,2022,36,360279,1,2,2,2,2,4,2,2,1,1,2,4,2,3,2004,1,
37002,2022,36,360280,1,2,1,2,2,3,2,2,1,1,2,4,2,3,2011,1,
37003,2022,36,360281,1,2,2,2,1,2,2,2,1,1,2,4,2,3,2006,1,
37004,2022,36,360281,2,2,2,2,2,4,2,2,2,2,2,4,2,3,9999,1,
37005,2022,36,360282,1,2,2,2,2,3,2,2,1,1,2,4,2,3,2014,1,
37006,2022,36,360283,1,2,2,2,2,1,5,2,1,1,2,4,2,3,2018,1,
37007,2022,36,360283,2,2,2,2,2,6,2,1,1,1,1,4,2,3,2022,1,
37008,2022,36,360284,1,2,2,2,1,1,2,2,2,2,2,4,1,3,2009,1,
37009,2022,36,360284,2,2,2,2,2,3,2,2,1,1,2,4,2,3,2020,1,
37010,2022,36,360285,1,2,2,2,1,2,2,2,2,2,2,4,1,3,2002,1,
37011,2022,36,360286,1,2,2,2,1,7,2,2,4,2,2,3,1,3,2004,1,
37012,2022,36,360287,1,2,2,2,1,2,2,1,1,1,2,4,2,3,2001,1,
37013,2022,36,360288,1,2,2,2,1,1,2,2,1,1,2,4,2,3,2007,1,
37014,2022,36,360289,1,2,2,2,2,1,2,2,1,1,2,4,2,3,2013,1,
37015,2022,36,360291,1,2,2,2,1,1,2,2,1,1,2,4,2,3,2012,1,
37016,2022,36,360291,2,2,2,2,2,2,2,2,1,1,2,4,2,3,2019,1,
37017,2022,36,360292,1,2,2,2,1,2,2,2,1,1,2,4,2,3,1999,1,
37018,2022,36,360292,2,2,2,2,2,6,2,2,1,1,2,4,2,3,2021,1,
37019,2022,36,360293,1,2,2,2,2,7,2,2,4,2,2,3,1,3,2020,1,
37020,2022,36,360293,2,2,2,2,2,6,2,2,1,1,1,4,2,3,2017,1,
37021,2022,36,360294,1,2,2,2,1,1,2,2,1,1,2,4,2,3,2004,1,
37022,2022,36,360294,2,2,2,2,2,1,7,2,1,1,2,4,2,3,2020,1,
37023,2022,36,360295,1,2,2,2,1,3,2,2,1,1,2,4,2,3,2019,1,
37024,2022,36,360295,2,2,2,2,2,7,2,2,4,2,2,2,2,3,2016,1,
37025,2022,36,360296,1,2,2,2,2,7,7,2,4,1,2,1,2,3,9999,1,
37026,2022,36,360296,2,2,2,2,2,3,7,2,1,1,2,4,2,3,2018,1,
37027,2022,36,360297,1,1,2,2,2,1,2,2,1,1,2,4,2,3,2017,1,
37028,2022,36,360297,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2016,1,
37029,2022,36,360299,1,2,2,2,1,7,4,2,4,1,2,1,2,3,2014,1,
37030,2022,36,360300,1,2,2,2,2,4,2,2,1,1,2,4,2,3,2014,1,
37031,2022,36,360301,1,2,2,2,1,2,2,2,1,1,2,4,2,3,2014,1,
37032,2022,36,360302,1,2,2,2,1,6,2,2,2,2,2,4,2,3,2019,1,
