station_id,station_name,full_station_name,station_number,station_type,latitude,longitude,county_name,sample_count,sample_date_min,sample_date_max
30195,13S16E05C001M,13S16E05C001M,13S16E05C001M,Groundwater,36.8363,-120.2541,Madera,1,7/27/1976 0:00,7/27/1976 0:00
30196,13S16E06A001S,13S16E06A001S,13S16E06A001S,Groundwater,33.0552,-115.3515,Imperial,1,4/27/1962 0:00,4/27/1962 0:00
30197,13S16E06J001S,13S16E06J001S,13S16E06J001S,Groundwater,33.048,-115.3515,Imperial,1,4/27/1962 0:00,4/27/1962 0:00
30198,13S16E06M001M,13S16E06M001M,13S16E06M001M,Groundwater,36.8233,-120.2831,Madera,1,10/26/1964 0:00,10/26/1964 0:00
30199,13S16E06N001S,13S16E06N001S,13S16E06N001S,Groundwater,33.0444,-115.3645,Imperial,1,11/17/1961 0:00,11/17/1961 0:00
30200,13S16E06P001S,13S16E06P001S,13S16E06P001S,Groundwater,33.0444,-115.3602,Imperial,1,3/1/1962 0:00,3/1/1962 0:00
30202,13S16E07R001M,13S16E07R001M,13S16E07R001M,Groundwater,36.808,-120.2602,Madera,1,10/26/1964 0:00,10/26/1964 0:00
30203,13S16E08H001M,13S16E08H001M,13S16E08H001M,Groundwater,36.8161,-120.241,Madera,1,6/10/1965 15:30,6/10/1965 15:30
30204,13S16E10H001M,13S16E10H001M,13S16E10H001M,Groundwater,36.8125,-120.2154,Madera,1,8/10/1965 0:00,8/10/1965 0:00
30205,13S16E12K001M,13S16E12K001M,13S16E12K001M,Groundwater,36.8089,-120.1839,Madera,2,3/7/1966 0:00,3/7/1966 0:00
30206,13S16E14J001M,13S16E14J001M,13S16E14J001M,Groundwater,36.7946,-120.1974,Madera,2,3/7/1966 0:00,3/7/1966 0:00
30207,13S16E14X001S,13S16E14X001S,13S16E14X001S,Groundwater,33.0208,-115.2894,Imperial,1,5/19/1947 0:00,5/19/1947 0:00
30208,13S16E16D001M,13S16E16D001M,13S16E16D001M,Groundwater,36.8069,-120.2379,Madera,1,12/28/1948 13:15,12/28/1948 13:15
30209,13S16E16X001S,13S16E16X001S,13S16E16X001S,Groundwater,33.0208,-115.3237,Imperial,1,8/13/1958 0:00,8/13/1958 0:00
30210,13S16E18F001M,13S16E18F001M,13S16E18F001M,Groundwater,36.7982,-120.2786,Madera,2,10/26/1964 0:00,8/11/1965 0:00
30211,13S16E18H001M,13S16E18H001M,13S16E18H001M,Groundwater,36.8002,-120.2596,Madera,1,10/26/1964 0:00,10/26/1964 0:00
30213,13S16E22A001M,13S16E22A001M,13S16E22A001M,Groundwater,36.7922,-120.2052,Madera,1,3/18/1966 0:00,3/18/1966 0:00
30214,13S16E25C002M,13S16E25C002M,13S16E25C002M,Groundwater,36.773,-120.1885,Fresno,2,6/4/1964 0:00,3/14/1965 0:00
30215,13S16E25D001M,13S16E25D001M,13S16E25D001M,Groundwater,36.7774,-120.1832,Fresno,1,11/23/1948 14:30,11/23/1948 14:30
30216,13S16E28R001S,13S16E28R001S,13S16E28R001S,Groundwater,32.9863,-115.3172,Imperial,1,8/1/1961 0:00,8/1/1961 0:00
30217,13S16E35M001S,13S16E35M001S,13S16E35M001S,Groundwater,32.9754,-115.2959,Imperial,1,1/16/1962 0:00,1/16/1962 0:00
30218,13S16E35M002S,13S16E35M002S,13S16E35M002S,Groundwater,32.9754,-115.2959,Imperial,1,11/8/1961 0:00,11/8/1961 0:00
30219,13S16E36R001M,13S16E36R001M,13S16E36R001M,Groundwater,36.7497,-120.1682,Fresno,3,10/12/1951 0:00,8/14/1963 0:00
30220,13S16E36R003M,13S16E36R003M,13S16E36R003M,Groundwater,36.7479,-120.1794,Fresno,3,8/14/1963 0:00,3/14/1965 0:00
30221,13S17E01L001M,13S17E01L001M,13S17E01L001M,Groundwater,36.8233,-120.0803,Madera,2,9/3/1963 0:00,9/3/1963 0:00
30222,13S17E02M001M,13S17E02M001M,13S17E02M001M,Groundwater,36.8288,-120.0949,Madera,1,3/18/1966 0:00,3/18/1966 0:00
30223,13S17E05P001M,13S17E05P001M,13S17E05P001M,Groundwater,36.8197,-120.1524,Madera,1,6/8/1965 0:00,6/8/1965 0:00
30224,13S17E05P002M,13S17E05P002M,13S17E05P002M,Groundwater,36.8233,-120.1421,Madera,10,7/22/1957 0:00,6/8/1965 12:05
30226,13S17E08L001M,13S17E08L001M,13S17E08L001M,Groundwater,36.8119,-120.1452,Madera,2,3/11/1966 0:00,3/11/1966 0:00
30227,13S17E09A001M,13S17E09A001M,13S17E09A001M,Groundwater,36.8222,-120.1157,Madera,1,7/23/1976 0:00,7/23/1976 0:00
30228,13S17E11B002M,13S17E11B002M,13S17E11B002M,Groundwater,36.8161,-120.0938,Madera,1,7/8/1955 0:00,7/8/1955 0:00
30229,13S17E12J001M,13S17E12J001M,13S17E12J001M,Groundwater,36.8136,-120.0663,Fresno,1,9/23/1963 0:00,9/23/1963 0:00
30230,13S17E14R001M,13S17E14R001M,13S17E14R001M,Groundwater,36.791,-120.0893,Fresno,1,7/20/1960 10:25,7/20/1960 10:25
30231,13S17E22B001M,13S17E22B001M,13S17E22B001M,Groundwater,36.7927,-120.1021,Fresno,3,6/25/1963 11:00,3/14/1965 0:00
30232,13S17E24J001M,13S17E24J001M,13S17E24J001M,Groundwater,36.7827,-120.0607,Fresno,1,2/23/1949 0:00,2/23/1949 0:00
30233,13S17E27J001M,13S17E27J001M,13S17E27J001M,Groundwater,36.7691,-120.0968,Fresno,1,6/4/1964 15:00,6/4/1964 15:00
30234,13S17E29L001M,13S17E29L001M,13S17E29L001M,Groundwater,36.7658,-120.1524,Fresno,5,8/30/1957 10:00,6/20/1963 15:30
30235,13S17E30A002M,13S17E30A002M,13S17E30A002M,Groundwater,36.7774,-120.1507,Fresno,1,8/28/1963 12:07,8/28/1963 12:07
30236,13S17E32N001S,13S17E32N001S,13S17E32N001S,Groundwater,32.9718,-115.2444,Imperial,1,1/16/1962 0:00,1/16/1962 0:00
30237,13S17E35P001S,13S17E35P001S,13S17E35P001S,Groundwater,32.9723,-115.1883,Imperial,2,10/13/1961 0:00,1/16/1962 0:00
30238,13S17E35P002S,13S17E35P002S,13S17E35P002S,Groundwater,32.9767,-115.1905,Imperial,1,5/10/1962 0:00,5/10/1962 0:00
